iter	Logloss
139	0.1773297718
140	0.1771431927
141	0.1768848928
142	0.1763562954
143	0.1760224511
144	0.1757288121
145	0.1755026021
146	0.1752670602
147	0.1751934844
148	0.1749886696
149	0.1747917056
150	0.1745379803
151	0.17429242
152	0.1741471085
153	0.1740733487
154	0.1739803464
155	0.1739206396
156	0.1737732996
157	0.173541535
158	0.1734272243
159	0.1733175614
160	0.1732524992
161	0.1731659145
162	0.1729769509
163	0.1727556461
164	0.172229167
165	0.1721255179
166	0.1718748639
167	0.1713696409
168	0.1712838057
169	0.1709526107
170	0.170799933
171	0.1707131584
172	0.1705194241
173	0.1704651447
174	0.1703044996
175	0.1702292169
176	0.170112556
177	0.1700524169
178	0.1699671038
179	0.1697702864
180	0.1696815521
181	0.1695555863
182	0.1694322698
183	0.1692887804
184	0.1692212827
185	0.1691274621
186	0.1689855942
187	0.1689153769
188	0.1688463159
189	0.1686258668
190	0.1684281368
191	0.1682665417
192	0.1681334522
193	0.1680898554
194	0.1677973355
195	0.1677327908
196	0.1676087159
197	0.1675308736
198	0.1673929357
199	0.1672333302
200	0.1670901923
201	0.1669606213
202	0.1668929066
203	0.1667374001
204	0.1666644541
205	0.1665913197
206	0.1665025853
207	0.1664481743
208	0.1663984426
209	0.1663258526
210	0.1661884278
211	0.1660656903
212	0.1659051259
213	0.1658207972
214	0.1657630861
215	0.1656890361
216	0.1655739668
217	0.1654969847
218	0.165432853
219	0.1653585905
220	0.1651865178
221	0.1651029699
222	0.1650233519
223	0.1649474499
224	0.1648455751
225	0.164757107
226	0.164706741
227	0.1646559323
228	0.164429996
229	0.1643865802
230	0.1643483599
231	0.1642606907
232	0.1642192751
233	0.1641751203
234	0.1640712588
235	0.1640116523
236	0.1639100168
237	0.1638120584
238	0.1637040681
239	0.1636435759
240	0.1635557721
241	0.1634941026
242	0.1633573285
243	0.1631896419
244	0.1630959814
245	0.1630521767
246	0.1629088174
247	0.1628518452
248	0.1627743964
249	0.1627346966
250	0.162693845
251	0.1626531519
252	0.1623430215
253	0.1622680021
254	0.1622083821
255	0.1621557438
256	0.1620786106
257	0.1619080218
258	0.1618406767
259	0.16180834
260	0.1617347149
261	0.1616344706
262	0.1615494478
263	0.1614823285
264	0.1614276243
265	0.161351257
266	0.1612640276
267	0.1612215962
268	0.1611847447
269	0.1611421039
270	0.1611060288
271	0.1610120093
272	0.1609644647
273	0.1609168079
274	0.1608619107
275	0.1608248737
276	0.1607800173
277	0.1607358775
278	0.1606946594
279	0.1606131969
280	0.160580196
281	0.1605177502
282	0.1604348441
283	0.1603785332
284	0.1601329055
285	0.1600812022
286	0.1600539922
287	0.160012041
288	0.1598705082
289	0.1597211277
290	0.1596222881
291	0.1595820648
292	0.1595212271
293	0.1593365838
294	0.1593046001
295	0.1592302659
296	0.159204486
297	0.1591637002
298	0.15907027
299	0.1590339765
300	0.1590011971
301	0.1589343037
302	0.1589052133
303	0.1588824298
304	0.1588113912
305	0.1587813389
306	0.1587399277
307	0.1586964596
308	0.1586267987
309	0.1585602106
310	0.1585227054
311	0.1584349359
312	0.1584118757
313	0.158363815
314	0.1583133039
315	0.1582904771
316	0.1582490943
317	0.1582227415
318	0.1580752803
319	0.1579566552
320	0.1577615566
321	0.157723441
322	0.1576576921
323	0.1575744345
324	0.1575293567
325	0.157487045
326	0.157451492
327	0.1574078145
328	0.1573721194
329	0.1573405486
330	0.1572647843
331	0.157217488
332	0.1571727603
333	0.1571380406
334	0.1571030067
335	0.1570460899
336	0.1570181963
337	0.1569707863
338	0.1568849661
339	0.1568418301
340	0.1568126559
341	0.1567883346
342	0.156758915
343	0.1567252066
344	0.156690813
345	0.156624138
346	0.1565868288
347	0.1565536634
348	0.1565110524
349	0.1564868553
350	0.1563977006
351	0.156363678
352	0.1563276717
353	0.1562644121
354	0.1562394699
355	0.1562031271
356	0.1561555466
357	0.1561282902
358	0.1560894237
359	0.155995627
360	0.1559369196
361	0.1558794463
362	0.1558430346
363	0.1557696623
364	0.1557415038
365	0.1557203854
366	0.1556752104
367	0.1556385908
368	0.1556197267
369	0.1555866496
370	0.1555668865
371	0.1555088776
372	0.1554610907
373	0.1554081502
374	0.1553737416
375	0.1553158869
376	0.1552910135
377	0.1552295924
378	0.1551904028
379	0.1551036132
380	0.1550889363
381	0.1550443133
382	0.1550143492
383	0.1549354239
384	0.1549077995
385	0.1548793494
386	0.1548457082
387	0.1548160388
388	0.1547739874
389	0.1547524291
390	0.1547283367
391	0.1545341821
392	0.1544874857
393	0.1544487912
394	0.1544123451
395	0.1543820579
396	0.154348888
397	0.1543179187
398	0.1542640088
399	0.1542258723
400	0.1541966577
401	0.1541780045
402	0.1541438009
403	0.1541082674
404	0.1540729882
405	0.154053632
406	0.1540343685
407	0.1540087262
408	0.1539639133
409	0.1539142444
410	0.1538865931
411	0.1538525436
412	0.153827208
413	0.153791474
414	0.1537541094
415	0.1537076718
416	0.1536721398
417	0.1536380229
418	0.1535806484
419	0.1535341555
420	0.1535022766
421	0.1534547813
422	0.1534027638
423	0.1533713816
424	0.1533431827
425	0.1533213073
426	0.1532983743
427	0.1532651206
428	0.153243869
429	0.1532188969
430	0.1531934581
431	0.1531375062
432	0.1531193797
433	0.1530868979
434	0.1530610328
435	0.1529879132
436	0.1529517065
437	0.1528279398
438	0.1527986968
439	0.1527824462
440	0.1527654042
441	0.1527331857
442	0.1527016075
443	0.1526530875
444	0.1526323176
445	0.1526004926
446	0.1523103692
447	0.1522855811
448	0.1522312508
449	0.1522013586
450	0.1521599414
451	0.1521176806
452	0.1520975479
453	0.1520271511
454	0.1519900258
455	0.151970526
456	0.1519172713
457	0.151895921
458	0.1518616156
459	0.1518450898
460	0.1518120979
461	0.15177875
462	0.1517517195
463	0.1517120466
464	0.1516842277
465	0.1516559361
466	0.1516231926
467	0.1515833013
468	0.1515280645
469	0.1514978521
470	0.1514851978
471	0.1514671041
472	0.1514354227
473	0.1513985024
474	0.1513661538
475	0.1513486466
476	0.1513299246
477	0.1513033384
478	0.1512841213
479	0.1512588007
480	0.1512154164
481	0.1511906239
482	0.1511124974
483	0.1510150281
484	0.1509570746
485	0.1509127972
486	0.150882317
487	0.1508700143
488	0.1508457498
489	0.1508170513
490	0.1507868539
491	0.1507692973
492	0.1507200398
493	0.1506894325
494	0.1506680103
495	0.1506433614
496	0.1506163623
497	0.1505840451
498	0.1505465953
499	0.1505361056
