iter	Passed	Remaining
400	16806	4149
401	16862	4110
402	16911	4070
403	16957	4029
404	17009	3989
405	17054	3948
406	17099	3907
407	17146	3866
408	17200	3827
409	17255	3787
410	17304	3747
411	17356	3707
412	17414	3668
413	17466	3628
414	17530	3590
415	17580	3550
416	17644	3511
417	17711	3474
418	17789	3439
419	17877	3405
420	17938	3366
421	17989	3325
422	18037	3283
423	18080	3240
424	18117	3197
425	18153	3153
426	18203	3112
427	18256	3071
428	18318	3031
429	18389	2993
430	18470	2957
431	18558	2921
432	18607	2879
433	18652	2836
434	18689	2792
435	18725	2748
436	18769	2705
437	18827	2665
438	18870	2622
439	18917	2579
440	18961	2536
441	18999	2493
442	19037	2449
443	19077	2406
444	19112	2362
445	19153	2319
446	19191	2275
447	19230	2232
448	19270	2188
449	19308	2145
450	19361	2103
451	19404	2060
452	19446	2017
453	19492	1975
454	19536	1932
455	19573	1888
456	19609	1845
457	19647	1801
458	19684	1758
459	19721	1714
460	19763	1671
461	19803	1628
462	19840	1585
463	19883	1542
464	19920	1499
465	19957	1456
466	19995	1412
467	20033	1369
468	20070	1326
469	20109	1283
470	20151	1240
471	20190	1197
472	20228	1154
473	20267	1111
474	20309	1068
475	20349	1026
476	20396	983
477	20437	940
478	20480	897
479	20523	855
480	20568	812
481	20604	769
482	20640	726
483	20677	683
484	20719	640
485	20759	597
486	20796	555
487	20833	512
488	20872	469
489	20920	426
490	20967	384
491	21016	341
492	21065	299
493	21110	256
494	21148	213
495	21185	170
496	21228	128
497	21275	85
498	21316	42
499	21362	0
